Meniu pentru 30 zile
interval meniu,meniu normal,meniu vegetarian,meniu flexitarian
1-3,ciorba de potroace | legume cu curcan | cremsmit,Butternut Squash Soup | BROCCOLI MANICOTTI WITH BURRATA | crema de zahar ars,Sweet Potato Soup | EASY BAKED TACOS | lavacake
25-27,supa supelor | cartofi cu frpitura | chec,Butternut Squash Soup | FREGOLA WITH CORN, ZUCCHINI & BASIL | cheesecake,Asparagus Soup | EASY BAKED TACOS | alba ca zapada
28-30,supa cu taitei | sarmale cu mamaliga | coliva,Lentil Soup | SAGEY MUSHROOM WALNUT ROAST | crema de zahar ars,Cream of Spinach Soup | ITALIAN BAKED BEANS AND GREENS | cheesecake
31-33,supa a la grec | pure cu frpitura | crema de zahar ars,Pumpkin Soup | BROCCOLI MANICOTTI WITH BURRATA | chec,Tomato Soup | FREGOLA WITH CORN, ZUCCHINI & BASIL | inghetata
34-36,ciorba de potroace | musaca | chec,Asparagus Soup | EGGPLANT LASAGNA | coliva,Cream of Spinach Soup | ORECCHIETTE PASTA WITH BROCCOLI SAUCE | alba ca zapada
37-39,bors de peste | legume cu curcan | rulada,Roasted Carrot Soup | FARMERS MARKET VEGGIE ENCHILADAS | rulada,Lentil Soup | BROCCOLI MANICOTTI WITH BURRATA | lavacake
40-42,ciorba de fasole | fasole cu ciolan | rulada,Roasted Cauliflower Soup | SAGEY MUSHROOM WALNUT ROAST | rulada,Butternut Squash Soup | FARMERS MARKET VEGGIE ENCHILADAS | cheesecake
43-45,bors de peste | legume cu curcan | orez cu lapte,Roasted Cauliflower Soup | BROCCOLI MANICOTTI WITH BURRATA | cheesecake,Roasted Carrot Soup | EGGPLANT LASAGNA | alba ca zapada
Meniu pentru 60 zile
interval meniu,meniu normal,meniu vegetarian,meniu flexitarian
1-3,supa crema de legume | legume cu curcan | alba ca zapada,Asparagus Soup | CACIO E PEPE | cremsmit,Roasted Carrot Soup | FARMERS MARKET VEGGIE ENCHILADAS | orez cu lapte
4-6,supa cu taitei | legume cu curcan | cremsmit,Asparagus Soup | EASY BAKED TACOS | crema de zahar ars,Roasted Carrot Soup | SAGEY MUSHROOM WALNUT ROAST | orez cu lapte
7-9,supa supelor | musaca | cremsmit,Pumpkin Soup | ITALIAN BAKED BEANS AND GREENS | lavacake,Butternut Squash Soup | BROCCOLI MANICOTTI WITH BURRATA | rulada
10-12,supa crema de legume | ardei umplut | chec,Cream of Spinach Soup | FREGOLA WITH CORN, ZUCCHINI & BASIL | alba ca zapada,Tomato Soup | SAGEY MUSHROOM WALNUT ROAST | lavacake
13-15,ciorba de fasole | mancare de cartofi | alba ca zapada,Sweet Potato Soup | CACIO E PEPE | cheesecake,Asparagus Soup | ORECCHIETTE PASTA WITH BROCCOLI SAUCE | lavacake
16-18,supa crema de legume | lasagna | alba ca zapada,Tomato Soup | CACIO E PEPE | orez cu lapte,Asparagus Soup | CACIO E PEPE | alba ca zapada
19-21,supa a la grec | cartofi cu frpitura | coliva,Tomato Soup | EGGPLANT LASAGNA | alba ca zapada,Pumpkin Soup | FARMERS MARKET VEGGIE ENCHILADAS | alba ca zapada
22-24,ciorba de fasole | legume cu curcan | orez cu lapte,Vegetable Soup | EASY BAKED TACOS | rulada,Pumpkin Soup | FARMERS MARKET VEGGIE ENCHILADAS | lavacake
25-27,supa supelor | lasagna | inghetata,Pumpkin Soup | SAGEY MUSHROOM WALNUT ROAST | rulada,Roasted Cauliflower Soup | ITALIAN BAKED BEANS AND GREENS | coliva
28-30,ciorba de fasole | musaca | inghetata,Pumpkin Soup | ORECCHIETTE PASTA WITH BROCCOLI SAUCE | cremsmit,Lentil Soup | CACIO E PEPE | alba ca zapada
31-33,supa a la grec | cartofi cu frpitura | cheesecake,Pumpkin Soup | FREGOLA WITH CORN, ZUCCHINI & BASIL | orez cu lapte,Pumpkin Soup | EGGPLANT LASAGNA | lavacake
34-36,bors de peste | pure cu frpitura | alba ca zapada,Asparagus Soup | ORECCHIETTE PASTA WITH BROCCOLI SAUCE | orez cu lapte,Butternut Squash Soup | EGGPLANT LASAGNA | alba ca zapada
37-39,supa cu galuste | sarmale cu mamaliga | cheesecake,Vegetable Soup | BROCCOLI MANICOTTI WITH BURRATA | rulada,Sweet Potato Soup | CACIO E PEPE | rulada
40-42,supa cu taitei | pure cu frpitura | coliva,Roasted Carrot Soup | FARMERS MARKET VEGGIE ENCHILADAS | inghetata,Sweet Potato Soup | ITALIAN BAKED BEANS AND GREENS | orez cu lapte
43-45,ciorba de fasole | mancare de cartofi | lavacake,Vegetable Soup | CACIO E PEPE | crema de zahar ars,Butternut Squash Soup | FARMERS MARKET FRIED RICE | alba ca zapada
46-48,ciorba de potroace | mancare de cartofi | rulada,Sweet Potato Soup | ORECCHIETTE PASTA WITH BROCCOLI SAUCE | rulada,Sweet Potato Soup | CACIO E PEPE | orez cu lapte
49-51,supa crema de legume | mancare de cartofi | crema de zahar ars,Roasted Cauliflower Soup | CACIO E PEPE | alba ca zapada,Roasted Cauliflower Soup | FARMERS MARKET VEGGIE ENCHILADAS | crema de zahar ars
52-54,supa cu taitei | sarmale cu mamaliga | orez cu lapte,Asparagus Soup | EGGPLANT LASAGNA | chec,Butternut Squash Soup | FARMERS MARKET VEGGIE ENCHILADAS | orez cu lapte
55-57,supa supelor | snitel | orez cu lapte,Sweet Potato Soup | EGGPLANT LASAGNA | cremsmit,Tomato Soup | SAGEY MUSHROOM WALNUT ROAST | rulada
58-60,supa a la grec | pure cu frpitura | coliva,Roasted Cauliflower Soup | CACIO E PEPE | cremsmit,Pumpkin Soup | FARMERS MARKET FRIED RICE | coliva
Meniu pentru 100 zile
interval meniu,meniu normal,meniu vegetarian,meniu flexitarian
1-3,bors de peste | mancare de cartofi | crema de zahar ars,Lentil Soup | BROCCOLI MANICOTTI WITH BURRATA | crema de zahar ars,Lentil Soup | EASY BAKED TACOS | rulada
4-6,bors de peste | legume cu curcan | cheesecake,Vegetable Soup | ITALIAN BAKED BEANS AND GREENS | coliva,Tomato Soup | EGGPLANT LASAGNA | orez cu lapte
7-9,supa cu taitei | musaca | rulada,Roasted Carrot Soup | EASY BAKED TACOS | coliva,Roasted Carrot Soup | FREGOLA WITH CORN, ZUCCHINI & BASIL | lavacake
10-12,bors de peste | legume cu curcan | lavacake,Sweet Potato Soup | ORECCHIETTE PASTA WITH BROCCOLI SAUCE | alba ca zapada,Butternut Squash Soup | ORECCHIETTE PASTA WITH BROCCOLI SAUCE | lavacake
13-15,supa supelor | fasole cu ciolan | orez cu lapte,Asparagus Soup | BROCCOLI MANICOTTI WITH BURRATA | rulada,Asparagus Soup | FARMERS MARKET FRIED RICE | cremsmit
16-18,ciorba de fasole | pure cu frpitura | chec,Cream of Spinach Soup | FARMERS MARKET FRIED RICE | orez cu lapte,Roasted Carrot Soup | CACIO E PEPE | cheesecake
19-21,supa de linte | lasagna | coliva,Butternut Squash Soup | EASY BAKED TACOS | cremsmit,Pumpkin Soup | CACIO E PEPE | chec
22-24,supa a la grec | fasole cu ciolan | chec,Roasted Cauliflower Soup | ORECCHIETTE PASTA WITH BROCCOLI SAUCE | rulada,Sweet Potato Soup | ITALIAN BAKED BEANS AND GREENS | inghetata
25-27,supa crema de legume | snitel | inghetata,Roasted Cauliflower Soup | ORECCHIETTE PASTA WITH BROCCOLI SAUCE | inghetata,Vegetable Soup | SAGEY MUSHROOM WALNUT ROAST | crema de zahar ars
28-30,supa cu galuste | ardei umplut | alba ca zapada,Vegetable Soup | FARMERS MARKET VEGGIE ENCHILADAS | coliva,Pumpkin Soup | SAGEY MUSHROOM WALNUT ROAST | chec
31-33,supa a la grec | mancare de cartofi | orez cu lapte,Roasted Carrot Soup | EGGPLANT LASAGNA | lavacake,Pumpkin Soup | ITALIAN BAKED BEANS AND GREENS | lavacake
34-36,ciorba de potroace | cartofi cu frpitura | rulada,Lentil Soup | CACIO E PEPE | inghetata,Pumpkin Soup | EASY BAKED TACOS | inghetata
37-39,supa cu galuste | cartofi cu frpitura | coliva,Cream of Spinach Soup | ITALIAN BAKED BEANS AND GREENS | alba ca zapada,Lentil Soup | FARMERS MARKET FRIED RICE | lavacake
40-42,ciorba de potroace | pure cu frpitura | chec,Sweet Potato Soup | FARMERS MARKET VEGGIE ENCHILADAS | inghetata,Sweet Potato Soup | ITALIAN BAKED BEANS AND GREENS | crema de zahar ars
43-45,supa cu galuste | mancare de cartofi | cheesecake,Sweet Potato Soup | CACIO E PEPE | crema de zahar ars,Tomato Soup | CACIO E PEPE | chec
46-48,supa cu galuste | lasagna | coliva,Sweet Potato Soup | ITALIAN BAKED BEANS AND GREENS | lavacake,Sweet Potato Soup | CACIO E PEPE | rulada
49-51,ciorba de potroace | cartofi cu frpitura | rulada,Pumpkin Soup | FARMERS MARKET FRIED RICE | rulada,Butternut Squash Soup | SAGEY MUSHROOM WALNUT ROAST | cheesecake
52-54,supa de linte | ardei umplut | chec,Sweet Potato Soup | CACIO E PEPE | alba ca zapada,Roasted Cauliflower Soup | FREGOLA WITH CORN, ZUCCHINI & BASIL | orez cu lapte
55-57,supa supelor | sarmale cu mamaliga | inghetata,Roasted Cauliflower Soup | CACIO E PEPE | alba ca zapada,Sweet Potato Soup | FREGOLA WITH CORN, ZUCCHINI & BASIL | crema de zahar ars
58-60,bors de peste | pure cu frpitura | rulada,Roasted Carrot Soup | FARMERS MARKET FRIED RICE | orez cu lapte,Asparagus Soup | EASY BAKED TACOS | orez cu lapte
61-63,bors de peste | legume cu curcan | crema de zahar ars,Cream of Spinach Soup | ITALIAN BAKED BEANS AND GREENS | crema de zahar ars,Sweet Potato Soup | EASY BAKED TACOS | chec
64-66,supa supelor | ardei umplut | rulada,Butternut Squash Soup | ITALIAN BAKED BEANS AND GREENS | rulada,Tomato Soup | SAGEY MUSHROOM WALNUT ROAST | coliva
67-69,supa a la grec | fasole cu ciolan | rulada,Pumpkin Soup | BROCCOLI MANICOTTI WITH BURRATA | coliva,Cream of Spinach Soup | ITALIAN BAKED BEANS AND GREENS | coliva
70-72,bors de peste | snitel | chec,Sweet Potato Soup | FARMERS MARKET FRIED RICE | crema de zahar ars,Butternut Squash Soup | FARMERS MARKET VEGGIE ENCHILADAS | lavacake
73-75,ciorba de burta | pure cu frpitura | cheesecake,Pumpkin Soup | EASY BAKED TACOS | coliva,Roasted Cauliflower Soup | ITALIAN BAKED BEANS AND GREENS | alba ca zapada
76-78,supa cu galuste | fasole cu ciolan | orez cu lapte,Tomato Soup | SAGEY MUSHROOM WALNUT ROAST | coliva,Butternut Squash Soup | BROCCOLI MANICOTTI WITH BURRATA | crema de zahar ars
79-81,bors de peste | pure cu frpitura | orez cu lapte,Vegetable Soup | ITALIAN BAKED BEANS AND GREENS | alba ca zapada,Lentil Soup | EASY BAKED TACOS | rulada
82-84,ciorba de fasole | fasole cu ciolan | cheesecake,Cream of Spinach Soup | CACIO E PEPE | cheesecake,Cream of Spinach Soup | CACIO E PEPE | inghetata
85-87,supa cu galuste | fasole cu ciolan | lavacake,Lentil Soup | EGGPLANT LASAGNA | orez cu lapte,Asparagus Soup | BROCCOLI MANICOTTI WITH BURRATA | crema de zahar ars
88-90,supa a la grec | pure cu frpitura | orez cu lapte,Butternut Squash Soup | FREGOLA WITH CORN, ZUCCHINI & BASIL | cheesecake,Butternut Squash Soup | EGGPLANT LASAGNA | chec
91-93,ciorba de fasole | cartofi cu frpitura | orez cu lapte,Lentil Soup | SAGEY MUSHROOM WALNUT ROAST | coliva,Lentil Soup | ORECCHIETTE PASTA WITH BROCCOLI SAUCE | inghetata
94-96,supa crema de legume | mancare de cartofi | cremsmit,Roasted Carrot Soup | EASY BAKED TACOS | alba ca zapada,Roasted Carrot Soup | FREGOLA WITH CORN, ZUCCHINI & BASIL | orez cu lapte
97-99,ciorba de burta | mancare de cartofi | inghetata,Asparagus Soup | CACIO E PEPE | alba ca zapada,Asparagus Soup | EGGPLANT LASAGNA | inghetata
100-102,supa cu taitei | pure cu frpitura | alba ca zapada,Cream of Spinach Soup | BROCCOLI MANICOTTI WITH BURRATA | rulada,Vegetable Soup | CACIO E PEPE | crema de zahar ars
